extent,cluster_id,start_date,end_date,heatwave_start,heatwave_end,time_range,lat_range,lon_range,heatwave_length,month,year,spatial_extent
"{'time_range': (9465, 9467), 'lat_range': (49.921875, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 3}",996,1965-12-07,1965-12-09,9465,9467,"(9465, 9467)","(49.921875, 54.84375)","(-9.824561403508792, -7.719298245614056)",3,12,1965,78376.0
"{'time_range': (9475, 9479), 'lat_range': (36.5625, 54.84375), 'lon_range': (-4.912280701754408, 9.824561403508744), 'heatwave_length': 5}",998,1965-12-17,1965-12-21,9475,9479,"(9475, 9479)","(36.5625, 54.84375)","(-4.912280701754408, 9.824561403508744)",5,12,1965,2331558.0
"{'time_range': (9483, 9486), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 4}",999,1965-12-25,1965-12-28,9483,9486,"(9483, 9486)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",4,12,1965,191705.0
"{'time_range': (9489, 9491), 'lat_range': (40.78125, 54.84375), 'lon_range': (1.4035087719297996, 9.122807017543831), 'heatwave_length': 3}",1000,1965-12-31,1966-01-02,9489,9491,"(9489, 9491)","(40.78125, 54.84375)","(1.4035087719297996, 9.122807017543831)",3,12,1965,903381.0
"{'time_range': (9493, 9496), 'lat_range': (36.5625, 47.8125), 'lon_range': (-7.719298245614056, -1.4035087719298485), 'heatwave_length': 4}",1001,1966-01-04,1966-01-07,9493,9496,"(9493, 9496)","(36.5625, 47.8125)","(-7.719298245614056, -1.4035087719298485)",4,1,1966,652403.0
"{'time_range': (9508, 9523), 'lat_range': (35.859375, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 16}",1003,1966-01-19,1966-02-03,9508,9523,"(9508, 9523)","(35.859375, 54.84375)","(-9.824561403508792, 9.824561403508744)",16,1,1966,3248551.0
"{'time_range': (9509, 9515), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -7.719298245614056), 'heatwave_length': 7}",1004,1966-01-20,1966-01-26,9509,9515,"(9509, 9515)","(43.59375, 54.84375)","(-9.824561403508792, -7.719298245614056)",7,1,1966,191705.0
"{'time_range': (9519, 9524), 'lat_range': (43.59375, 54.84375), 'lon_range': (-9.824561403508792, -8.421052631578968), 'heatwave_length': 6}",1005,1966-01-30,1966-02-04,9519,9524,"(9519, 9524)","(43.59375, 54.84375)","(-9.824561403508792, -8.421052631578968)",6,1,1966,127803.0
"{'time_range': (9522, 9525), 'lat_range': (35.15625, 38.671875), 'lon_range': (7.017543859649096, 9.824561403508744), 'heatwave_length': 4}",1006,1966-02-02,1966-02-05,9522,9525,"(9522, 9525)","(35.15625, 38.671875)","(7.017543859649096, 9.824561403508744)",4,2,1966,97776.0
"{'time_range': (9525, 9531), 'lat_range': (36.5625, 54.84375), 'lon_range': (-9.824561403508792, 9.824561403508744), 'heatwave_length': 7}",1007,1966-02-05,1966-02-11,9525,9531,"(9525, 9531)","(36.5625, 54.84375)","(-9.824561403508792, 9.824561403508744)",7,2,1966,3108744.0
